,Tweet,URL,Date,user_id,Replies,Retweets,Likes,Tweet Content,Main language use
25,25,https://twitter.com/TGTM_Official/status/1501851504084279296,2022-03-10,1500639956737597442,0,10,20,"Let's make some money on China social media! Post some pro-Russia comments, and get paid 50RMB per 100 retweets, or 100RMB per 10,000 retweets.  #大翻譯運動    #TheGreatTranslationMovement   #偉大な翻訳運動",2
26,26,https://twitter.com/TGTM_Official/status/1501942996987564041,2022-03-10,1500639956737597442,0,16,40,"Dear Prime Minister of @BorisJohnson , have you received the debate between our Chinese netizens and you? If not, I have saved them all for you here. #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #偉大な翻訳運動  https://t.co/4fc3Z6erlx",2
27,27,https://twitter.com/TGTM_Official/status/1501966416928518150,2022-03-10,1500639956737597442,1,29,54,"First of all, we would like to congratulate Mr. Chris Bryant @RhonddaBryant who received the text message ""NMSL"" last time. I don't need to tell you who sent it, right? #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #偉大な翻訳運動  https://t.co/Z5Fwn70C8W",2
28,28,https://twitter.com/TGTM_Official/status/1502131828479594503,2022-03-11,1500639956737597442,0,7,20,"Chonglang TV tracked and reported: After paying 18,000 CNY for the evacuation airfare and a group singing rehearsal, the expatriates were organized to sing on the plane that the CCP had once again won a great victory. #TheGreatTranslationMovement #大翻译运动  https://t.co/67oonGuNrz",2
29,29,https://twitter.com/TGTM_Official/status/1502140362269229075,2022-03-11,1500639956737597442,4,46,73,"After iOS app @DocumentsApp rolled out a new logo showing support for Ukraine, Chinese iPhone users, presumably the well-educated middle class of China, flooded the review section with pro-Russia hate speech. #TheGreatTranslationMovement #大翻译运动 #UkraineRussiaWar #ThisIsChina  https://t.co/8CL8SeOF5t",2
30,30,https://twitter.com/TGTM_Official/status/1502176715149246464,2022-03-11,1500639956737597442,0,6,21,He just wanted a free lunch. #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #偉大な翻訳運動,2
31,31,https://twitter.com/TGTM_Official/status/1502181547276832768,2022-03-11,1500639956737597442,2,9,19,Thanks to government! Thanks to #CCP (whispering：please give me money)! #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #偉大な翻訳運動,2
32,32,https://twitter.com/TGTM_Official/status/1502238901393453057,2022-03-11,1500639956737597442,4,17,46,"I don't know if you still remember the Wenchuan earthquake in 2008. The consequences of the 8-magnitude earthquake made the local government officials rich, while the dead and injured were not rescued at all.@RedCross  #TheGreatTranslationMovement #大翻译运动 #偉大な翻訳運動  https://t.co/GJQmFx5qme",2
33,33,https://twitter.com/TGTM_Official/status/1502258024831873025,2022-03-11,1500639956737597442,0,5,20,#TheGreatTranslationMovement  #大翻译运动,6
34,34,https://twitter.com/TGTM_Official/status/1502262317496803330,2022-03-11,1500639956737597442,0,14,30,"Thanks to Mr. @polijunkie_aus for recording what happened to him after he joined an Australian WeChat group, the extreme remarks in it are really surprising. So for the love and peace of this world, we have to make it public. #TheGreatTranslationMovement #大翻译运动",2
35,35,https://twitter.com/TGTM_Official/status/1502325398259965955,2022-03-11,1500639956737597442,1,9,24,Doesn't mass gathering make it easier for the virus to spread? The officials who made people behave like this should have had a frontal lobectomy in their brains. #COVID19 #CovidIsNotOver #chinalockdown  #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction  https://t.co/FHLktcxzNU,2
36,36,https://twitter.com/TGTM_Official/status/1502341681739272194,2022-03-11,1500639956737597442,0,14,47,Weibo suppresses discussion of a #transgender murder? #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #偉大な翻訳運動  https://t.co/y6Rbj4xxaR,2
37,37,https://twitter.com/TGTM_Official/status/1502487299426185218,2022-03-12,1500639956737597442,1,11,38,"""EU is the biggest loser of the #RussiaUkraineWar . They have become US's breeding ranch."" Chinese knows the best  #TheGreatTranslationMovement #大翻译运动  #Grandmouvementdetraduction #偉大な翻訳運動  https://t.co/hlQF3ETtfT",2
38,38,https://twitter.com/TGTM_Official/status/1502515218693627906,2022-03-12,1500639956737597442,4,24,66,배우 이영애가 우크라이나에 1억원을 기부했다. 이에 중국 네티즌들은 분노하고 있다. @dispatch_kst  Actress Lee Young-ae donated 100 million won to Ukraine.  Chinese netizens are outraged by this. #TheGreatTranslationMovement #大翻译运动 #Grandmouvementtraduction #偉大な翻訳運動  https://t.co/aEAKCx3DcT,6
39,39,https://twitter.com/TGTM_Official/status/1502518247106699265,2022-03-12,1500639956737597442,4,15,56,Let's have a closer look on #Putin female fans in China.  No wonder we don't see Putin often these days as he must be busy in bed.  #TheGreatTranslationMovement #大翻译运动  #Grandmouvementdetraduction #偉大な翻訳運動  https://t.co/bbN4RMhivj,2
40,40,https://twitter.com/TGTM_Official/status/1502521088739545090,2022-03-12,1500639956737597442,5,19,59,"Sorry, we've translated something more vulgar that might make you uncomfortable. #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #偉大な翻訳運動  https://t.co/Yov7PFBcXI",2
41,41,https://twitter.com/TGTM_Official/status/1502569861565718529,2022-03-12,1500639956737597442,3,16,49,Who downloads X Videos during working hours again? #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #偉大な翻訳運動  https://t.co/nQ7y4BbimU,2
42,42,https://twitter.com/TGTM_Official/status/1502593227601297409,2022-03-12,1500639956737597442,6,23,82,"Thanks to @dw_chinese for the report and @Tracy_Wen_Liu , we will continue to stick to our original intention and work hard to expose the real voice of the Chinese. I hope the world will be full of love and peace in the future. #TheGreatTranslationMovement #大翻译运动",2
43,43,https://twitter.com/TGTM_Official/status/1502602094385065984,2022-03-12,1500639956737597442,4,1,7,"@Hunter3to1 Yes, I seem to have forgotten, you prefer to refer to Taiwanese as Taiwanese frogs.",2
44,44,https://twitter.com/TGTM_Official/status/1502607106926469122,2022-03-12,1500639956737597442,3,9,36,"Your Chinese language skills are amazing, you make a lot of sense, we should stop these grants dedicated to killing people. #TheGreatTranslationMovement #大翻译运动",2
45,45,https://twitter.com/TGTM_Official/status/1502644004889907204,2022-03-12,1500639956737597442,1,16,52,"Thanks to @SDeutschlands for this exclusive interview with our translation team. We will continue to speak and work hard for the freedom we expect, and hope that the world in the future will be full of love and peace. #TheGreatTranslationMovement #大翻译运动",2
46,46,https://twitter.com/TGTM_Official/status/1502654582903607301,2022-03-12,1500639956737597442,4,14,61,"If you don't like it, please don't hurt it, okay? 🥲 #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #偉大な翻訳運動  https://t.co/tQMLCRX6jm",2
47,47,https://twitter.com/TGTM_Official/status/1502664559030546432,2022-03-12,1500639956737597442,2,1,6,@edith12121212 有劳您帮忙分享批评这种言论的评论（如果它们没有被删掉的话），以及其点赞数，可以对比看看哪种言论在中文互联网上更受欢迎,1
48,48,https://twitter.com/TGTM_Official/status/1502671064488300544,2022-03-12,1500639956737597442,0,1,4,@big_ear_cat 大翻译已经接手了 #大翻译运动 #TheGreatTranslationMovement,1
49,49,https://twitter.com/TGTM_Official/status/1502673884604108807,2022-03-12,1500639956737597442,0,14,52,"Such an incel shouldn't have a girlfriend, right? #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #偉大な翻訳運動  https://t.co/xSv53mKwtG",2
50,50,https://twitter.com/TGTM_Official/status/1502691673779802115,2022-03-12,1500639956737597442,1,14,37,China's sudden no-notice #COVID19 lockdown measurement forces these people to choose between home and bread. China state media emphasised on zero-covid policy earlier today. @serpentza @big_ear_cat   #TheGreatTranslationMovement #大翻译运动  https://t.co/5q2Ac17nQk,2
51,51,https://twitter.com/TGTM_Official/status/1502803613206278146,2022-03-13,1500639956737597442,6,25,72,Here is a translation of how Chinese Weibo users respond to @VICENews 's report on Russian TikTok influencers being paid to spread Kremlin propaganda. #TheGreatTranslationMovement #大翻译运动 #ThisIsChina #UkraineWar #UkraineRussiaWar #RussiaUkraineWar #Ukraine  https://t.co/rwnXmLzC9j,2
52,52,https://twitter.com/TGTM_Official/status/1502823760281309184,2022-03-13,1500639956737597442,8,57,131,"Guess who should be responsible for #Chernobyl power cut? Some Chinese say Ukraine, some say US. Hope they get to an agreement soon.  #TheGreatTranslationMovement #大翻译运动  https://t.co/eFhZZtCcBu",2
53,53,https://twitter.com/TGTM_Official/status/1502830003553124355,2022-03-13,1500639956737597442,1,9,35,Thank you @HenHao for your view on #大翻译运动 #TheGreatTranslationMovement. We will continue to break the language barrier and show China's real voice.,2
54,54,https://twitter.com/TGTM_Official/status/1502867970774601729,2022-03-13,1500639956737597442,1,14,59,Let’s take a look of China’s next generation robot! …wait is that Yaskawa from Japan? Maybe Japan is part of China under Zhao Lijian’s warrior wolf diplomacy narrative.  #大翻译运动 #TheGreatTranslationMovement  #偉大な翻訳運動  https://t.co/qmUWvD7GC8,2
55,55,https://twitter.com/TGTM_Official/status/1502878382916194309,2022-03-13,1500639956737597442,5,10,39,And 12/3/2023  #大翻译运动 #TheGreatTranslationMovement,6
56,56,https://twitter.com/TGTM_Official/status/1502887427521744898,2022-03-13,1500639956737597442,2,13,50,"Chinese admiring Putin: We should carry our burden of responsibility, for our citizens, and our COUNTRY!   Credit @lelefarley     #TheGreatTranslationMovement #大翻译运动  https://t.co/zuePhxk55t via @YouTube",2
57,57,https://twitter.com/TGTM_Official/status/1502902022982410241,2022-03-13,1500639956737597442,11,64,170,"So, America is so dangerous, why are you going there? Is it @USA_China_Talk you begged her to come to America? #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #偉大な翻訳運動  https://t.co/LhxkOourzz",2
58,58,https://twitter.com/TGTM_Official/status/1502923354096893955,2022-03-13,1500639956737597442,5,21,83,Which #Marvel hero joined the #Chinese People's Liberation Army? #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #偉大な翻訳運動  https://t.co/z6Dtn8S5IO,2
59,59,https://twitter.com/TGTM_Official/status/1502923536221933570,2022-03-13,1500639956737597442,0,1,5,@Lalalan45204261 Looking forward to a better version  #TheGreatTranslationMovement #大翻译运动,2
60,60,https://twitter.com/TGTM_Official/status/1502935863965089792,2022-03-13,1500639956737597442,69,68,195,"Many Chinese don't think they are racist, but @POLITICOEurope do you feel offended by these massively liked remarks? #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #偉大な翻訳運動  https://t.co/72Jm1oIb8i",2
61,61,https://twitter.com/TGTM_Official/status/1502966376528433156,2022-03-13,1500639956737597442,5,1,3,@notXiangyu You made a really good suggestion! Your input is well received and thanks for your interest in #thegreattranslationmovement. We hope that you will continue participating in this movement in the future! Follow us on @TGTM_official for more updates ❤️❤️❤️,2
62,62,https://twitter.com/TGTM_Official/status/1502970510480576518,2022-03-13,1500639956737597442,15,39,140,"Before you worry about being excluded by non-Chinese nationals, you ought to consider how the people of your own country of origin, China, exclude you.  在担忧被外国人排斥之前，请先考虑中国人会不会排斥你。 #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction  https://t.co/l8aW4yV1DT",1
63,63,https://twitter.com/TGTM_Official/status/1502992956050972674,2022-03-13,1500639956737597442,61,39,437,"我们注意到很多人说,我们发出来的图片是少数人或者是虚假的言论。 但是其中的的点赞量和热门度并非虚假，难道这些人就不是中国人吗？ 不要关注于志愿者翻译的好不好，而忽略掉图片中丑恶的言论，这并非诗歌品鉴。 如果你曾是图片中的一员，请为你的所作所为而感到羞愧。#TheGreatTranslationMovement",1
64,64,https://twitter.com/TGTM_Official/status/1503028821506723844,2022-03-13,1500639956737597442,12,42,110,"If the CCP, with its 95% approval rating, does not represent the will of the people, then who does? Us, the infamous ""hanjian"" traitors of the motherland? #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #偉大な翻訳運動  https://t.co/Nlc4ZaMvVx",2
65,65,https://twitter.com/TGTM_Official/status/1503054157938188292,2022-03-13,1500639956737597442,11,22,63,The video itself says it all. I have nothing to add on.  (We are not tagging anything here as no translation is needed)  https://t.co/T8NS3MpMvz,2
66,66,https://twitter.com/TGTM_Official/status/1503086372411699202,2022-03-13,1500639956737597442,16,53,177,The word #Jew  in China can almost be equated with Satan. #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #偉大な翻訳運動  https://t.co/jboXmkPt7k,2
67,67,https://twitter.com/TGTM_Official/status/1503092973738741760,2022-03-13,1500639956737597442,19,79,192,"This is the real view of the Chinese on Weibo, with the highest likes reaching 76k. Almost everyone believes that COVID19 was deliberately created by the United States. #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #偉大な翻訳運動  https://t.co/oOmOIRngKp",2
68,68,https://twitter.com/TGTM_Official/status/1503195017560543235,2022-03-14,1500639956737597442,52,122,537,為了你我的自由 Za wolność naszą i waszą #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #偉大な翻訳運動  https://t.co/fWR7vZbEJS,1
69,69,https://twitter.com/TGTM_Official/status/1503208801234657280,2022-03-14,1500639956737597442,13,67,211,"RT editor's choice (China version) Yes, you always have support from Weibo with purchase power  #大翻译运动 #TheGreatTranslationMovement  https://t.co/5J5gosvipp",2
70,70,https://twitter.com/TGTM_Official/status/1503257950571274247,2022-03-14,1500639956737597442,15,61,188,"Our deepest condolences to the passing of #BrentRenaud, a respected reporter, in (the Russian invasion of) Ukraine. We also note the disturbing comments left on the article reporting his death.  #TheGreatTranslationMovement #大翻译运动 #偉大な翻訳運動  https://t.co/hJOOTBHl0O",2
71,71,https://twitter.com/TGTM_Official/status/1503302651349401606,2022-03-14,1500639956737597442,0,2,15,@IAPonomarenko We translate popular opinions on China social media.  Here is China's mainstream opinion on #BrentRenaud 's death. There are more pro-Russia people in China than you can ever imagine. Follow us on #TheGreatTranslationMovement for more contents.  https://t.co/icIkny9Mag,2
72,72,https://twitter.com/TGTM_Official/status/1503325074979315716,2022-03-14,1500639956737597442,0,1,0,@DeiEtPopuli Thanks for your support! We are more than happy to participate in academic research by your team in the future.,2
73,73,https://twitter.com/TGTM_Official/status/1503341819504971779,2022-03-14,1500639956737597442,25,50,145,"If it wasn't for them still speaking Chinese, I almost thought China was already Russian territory. @JaisTroian 　#TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #偉大な翻訳運動 #UkraineWar #UkraineRussiaWar #UkraineUnderAttack  https://t.co/iZvTm5mUPE",2
74,74,https://twitter.com/TGTM_Official/status/1503371369433780226,2022-03-14,1500639956737597442,5,26,111,"This cartoon illustration recently went viral on China social media and even appeared on Russia state TV. Meanwhile, Nazi-inspired work has been posted by the same author.  https://t.co/NNGpfEAHYd  Credir: r/GenZedong on reddit.  https://t.co/N5qyelyQpX",2
75,75,https://twitter.com/TGTM_Official/status/1503380484826435584,2022-03-14,1500639956737597442,7,29,104,와이프 운영한 인터넷 사이트에 대만가 국가라고 하기 때문에 안현수(Victor An) 감독님은 중국 웨이보에서 언어폭력을 당한다 @dispatch_kst  #위대한_번역운동 #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #TaiwanIsaCountry  https://t.co/ZxfPeeTjRJ,6
76,76,https://twitter.com/TGTM_Official/status/1503393342234628100,2022-03-14,1500639956737597442,16,47,147,What mainland #Chinese think of Yo-yo Ma playing the cello outside the Russian embassy to support #Ukraine  #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #偉大な翻訳運動  https://t.co/j2Dd1SvhOU,2
77,77,https://twitter.com/TGTM_Official/status/1503443364988874753,2022-03-14,1500639956737597442,27,79,226,"We can humble as dust, can not be distorted as maggots. #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #偉大な翻訳運動 #위대한_번역운동 #Ukraine #UkraineRussiaWar #chinazi  https://t.co/xWDnsLXLvr",2
78,78,https://twitter.com/TGTM_Official/status/1503462143852613632,2022-03-14,1500639956737597442,5,7,64,@__Inty__ 十分感谢您的帮助，在这个众人被集体所裹挟的时代，在这自由和个人思想遭到禁锢的时代，每一位站出来的都是义人。,1
79,79,https://twitter.com/TGTM_Official/status/1503571850428776453,2022-03-15,1500639956737597442,42,84,280,China Weibo comments cheering at Russia plans to seize assets of western companies that pull out. #RussianAggression #RussiaUkraineWar   #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #偉大な翻訳運動  https://t.co/jinIbKg8Gc,2
80,80,https://twitter.com/TGTM_Official/status/1503586522980749317,2022-03-15,1500639956737597442,18,69,194,Same story in two worlds.  #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #偉大な翻訳運動  #Ukraine #UkraineRussiaWar  https://t.co/6kQbG9sk0n,2
81,81,https://twitter.com/TGTM_Official/status/1503608162959572997,2022-03-15,1500639956737597442,5,28,104,Sins deserve punishment. Don't forget Xuzhou mother. #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #偉大な翻訳運動,2
82,82,https://twitter.com/TGTM_Official/status/1503648858743603200,2022-03-15,1500639956737597442,61,233,558,"If they are Chinese, why should they receive a Chinese assimilation education? If they are not, why do they have to be Chinese. @WikiRamzi @Dr_EyadQun @Muhamed_Erdogan @AiUo9Jn2Ct5faFR  #TheGreatTranslationMovement #大翻译运动 #کمپینبزرگترجمه  https://t.co/3YmiYU69Ws",2
83,83,https://twitter.com/TGTM_Official/status/1503673893923409922,2022-03-15,1500639956737597442,3,14,70,"人们会记住被哥萨克杀死的裴多菲， 而不是杀死他的哥萨克。民族之歌，裴多菲 1848.3.15 One will remember Petőfi, who slained by a cossack. Not the cossack, who had slain Petőfi. Nemzeti dal, Petőfi Sándor  1848.3.15 #TheGreatTranslationMovement #大翻译运动  https://t.co/DcO4uZi35s",1
84,84,https://twitter.com/TGTM_Official/status/1503683806510792709,2022-03-15,1500639956737597442,17,70,187,This may not be the opinion of most people.#Chinese are gentle and kind people. #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #위대한_번역운동  https://t.co/Jv5GVbncU5,2
85,85,https://twitter.com/TGTM_Official/status/1503727559908810752,2022-03-15,1500639956737597442,16,55,182,"America is so bad, why go to #America ? #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #偉大な翻訳運動  https://t.co/av9s03CoJb",2
86,86,https://twitter.com/TGTM_Official/status/1503766850366148611,2022-03-15,1500639956737597442,15,35,165,Power addicted man forces persons who sneaked out to buy food under lockdown to admit their fault publicly through video recording. #大翻译运动 #TheGreatTranslationMovement #偉大な翻訳運動 #COVID19 #CovidIsNotOver #China  https://t.co/jhEF0u3S4U,2
87,87,https://twitter.com/TGTM_Official/status/1503777621297209346,2022-03-15,1500639956737597442,0,1,2,@RayhanAsat @BostonCollege Please help these #Uyghurs girls! It is heartbreaking to see them forced to praise what ruins them. We translated this video to let people understand what is actually going on in #Xinjiang. #TheGreatTranslationMovement    https://t.co/rrNvMfmfCv,2
88,88,https://twitter.com/TGTM_Official/status/1503785346525392900,2022-03-15,1500639956737597442,7,31,127,Another example of Pro-nazi comments found on Weibo Einige Nazi-Kommentare der Chinesen Hinweis: Der Text in den Bildern spiegelt nicht die Ansichten des Übersetzers oder dieses Kontos wider.  #TheGreatTranslationMovement #大翻译运动 #Grandmouvementdetraduction #chinazi  https://t.co/D4IlSUIwcA,3
89,89,https://twitter.com/TGTM_Official/status/1503929721754558465,2022-03-16,1500639956737597442,24,44,174,China neitizens giving credit of spaceX launch to China. Is it because of 'Dragon'? 🤔  @serpentza @StephenMcDonell @laowhy86  #TheGreatTranslationMovement #大翻译运动  https://t.co/91crx0FrDv,2
90,90,https://twitter.com/TGTM_Official/status/1503960098028277762,2022-03-16,1500639956737597442,30,128,328,"中国人似乎是忽略了战争本身的残酷，把这场战争当成了好莱坞拍的美国片。 It appears as Chinese netizens disregard the severity of war, mistakenly took it as a Hollywood comedy. @ArthurKei_UA #RussianUkrainianWar #PutinWarCriminal  #大翻译运动 #TheGreatTranslationMovement  https://t.co/CGbuE0bNLu",1
91,91,https://twitter.com/TGTM_Official/status/1503967581224706048,2022-03-16,1500639956737597442,1,1,10,@Ezra_EX @ArthurKei_UA 欢迎你加入大翻译运动哦❤️,1
92,92,https://twitter.com/TGTM_Official/status/1503992878351020033,2022-03-16,1500639956737597442,12,48,179,It has been a few days since our last tweet about #Putin fans in China. Our bad.  They are still active and even 'OVULATE INSTANTLY'. Didn't know human being can do this...  #RussianUkrainianWar #PutinWarCriminal  #大翻译运动 #TheGreatTranslationMovement  https://t.co/TK2JlkbnQr,2
93,93,https://twitter.com/TGTM_Official/status/1504059174560301060,2022-03-16,1500639956737597442,10,66,191,中国の料理店の横断幕が掲げられており、日米でのCOVID19が続けてるようになりたい。 A restaurant in China sets up a banner to wish #Covid_19 spread further in Japan and US.  @YSD0118  @shukan_bunshun #TheGreatTranslationMovement #大翻译运动 #偉大な翻訳運動 #コロナワクチン  https://t.co/iGbk8c6PTE,4
